Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
2025/12/28, 23:00:00, 0,0,0, 21000.00, 1, 1, 0, 1
2025/12/28, 23:00:01, 0,0,0, 21000.25, 2, 1, 0, 2
2025/12/28, 23:00:02, 0,0,0, 21000.50, 1, 1, 0, 1
2025/12/28, 23:00:03, 0,0,0, 21000.25, 3, 1, 3, 0
2025/12/28, 23:00:04, 0,0,0, 21000.00, 2, 1, 2, 0
2025/12/28, 23:00:05, 0,0,0, 20999.75, 1, 1, 1, 0
2025/12/28, 23:00:06, 0,0,0, 20999.50, 4, 1, 4, 0
2025/12/28, 23:00:07, 0,0,0, 20999.75, 1, 1, 0, 1
2025/12/28, 23:00:08, 0,0,0, 21000.00, 2, 1, 0, 2
2025/12/28, 23:00:09, 0,0,0, 21000.50, 3, 1, 0, 3
2025/12/28, 23:00:10, 0,0,0, 21001.00, 2, 1, 0, 2
2025/12/28, 23:00:11, 0,0,0, 21001.50, 1, 1, 0, 1
2025/12/28, 23:00:12, 0,0,0, 21001.25, 4, 1, 4, 0
2025/12/28, 23:00:13, 0,0,0, 21001.00, 2, 1, 2, 0
2025/12/28, 23:00:14, 0,0,0, 21000.75, 1, 1, 1, 0
2025/12/28, 23:00:15, 0,0,0, 21000.50, 3, 1, 3, 0
2025/12/28, 23:00:16, 0,0,0, 21000.75, 2, 1, 0, 2
2025/12/28, 23:00:17, 0,0,0, 21001.00, 1, 1, 0, 1
2025/12/28, 23:00:18, 0,0,0, 21001.25, 4, 1, 0, 4
2025/12/28, 23:00:19, 0,0,0, 21001.50, 2, 1, 0, 2
2025/12/28, 23:00:20, 0,0,0, 21001.75, 1, 1, 0, 1
2025/12/28, 23:00:21, 0,0,0, 21002.00, 3, 1, 0, 3
2025/12/28, 23:00:22, 0,0,0, 21002.25, 2, 1, 0, 2
2025/12/28, 23:00:23, 0,0,0, 21002.00, 4, 1, 4, 0
2025/12/28, 23:00:24, 0,0,0, 21001.75, 1, 1, 1, 0
2025/12/28, 23:00:25, 0,0,0, 21001.50, 2, 1, 2, 0
